,IMDB Rating,Metascore,Votes,Duration,Gross
61,7.2,78.0,178878.0,110,16070000.0
62,8.4,97.0,,95,280000.0
63,7.9,86.0,107677.0,172,61700000.0
64,8.2,91.0,,91,1230000.0
65,8.0,77.0,420936.0,94,20050000.0
66,7.2,73.0,23869.0,129,
67,7.9,60.0,213702.0,133,57230000.0
68,8.0,83.0,168404.0,106,86300000.0
69,8.2,86.0,258019.0,172,12100000.0
70,7.4,81.0,75535.0,114,42300000.0
71,7.7,,6227.0,50,
72,6.7,55.0,115093.0,121,35380000.0
73,8.4,86.0,,115,248160000.0
74,8.1,92.0,427106.0,102,2080000.0
75,7.5,79.0,108444.0,153,9250000.0
76,7.6,85.0,50657.0,118,30500000.0
77,8.1,73.0,121085.0,129,9600000.0
78,7.6,86.0,120824.0,153,43660000.0
79,7.6,89.0,97615.0,111,
80,7.9,88.0,28512.0,111,
81,7.9,84.0,53257.0,108,17570000.0
82,7.7,90.0,305684.0,91,47000000.0
83,7.7,74.0,102205.0,128,4910000.0
84,8.1,63.0,259632.0,172,163210000.0
85,8.1,91.0,164105.0,108,9600000.0
86,7.6,90.0,203800.0,119,11400000.0
87,7.3,83.0,181498.0,79,144880000.0
88,8.3,94.0,195905.0,125,18600000.0
89,8.2,98.0,282633.0,121,25000000.0
90,6.8,,1883.0,106,
91,7.4,82.0,186918.0,143,134220000.0
92,7.4,80.0,76703.0,116,81600000.0
93,7.1,61.0,63899.0,94,73690000.0
94,7.9,87.0,142708.0,197,30000000.0
95,8.4,68.0,,146,44020000.0
96,7.8,83.0,146822.0,96,45700000.0
97,8.3,77.0,,136,6210000.0
98,8.1,89.0,182305.0,185,
99,7.8,94.0,95880.0,119,
100,7.7,78.0,259825.0,88,83400000.0
101,8.3,95.0,166862.0,107,5720000.0
102,8.2,78.0,257543.0,124,
103,8.0,83.0,287691.0,106,104950000.0
104,8.0,66.0,226229.0,110,102310000.0
105,7.4,64.0,69960.0,125,21710000.0
106,7.8,79.0,120106.0,113,44790000.0
107,7.9,84.0,125578.0,138,70600000.0
108,7.1,66.0,114264.0,78,37680000.0
109,7.6,65.0,197891.0,78,141840000.0
110,8.1,90.0,378825.0,129,23380000.0
111,8.1,93.0,70261.0,170,23650000.0
112,8.3,60.0,84950.0,179,
113,6.8,,17606.0,162,17260000.0
114,7.5,57.0,138394.0,83,32060000.000000004
115,6.9,79.0,68084.0,116,42370000.0
116,6.7,43.0,112726.0,125,20970000.0
117,7.4,89.0,25043.0,151,58500000.0
118,7.5,96.0,47925.0,87,13780000.0
119,7.6,76.0,146910.0,112,43000000.0
120,7.4,65.0,166303.0,100,139880000.0
121,7.7,87.0,201945.0,110,51080000.0
122,6.9,64.0,50529.0,144,7500000.0
123,6.5,70.0,7442.0,179,31100000.0
124,6.8,83.0,114301.0,127,108190000.0
125,7.2,65.0,101451.0,83,63460000.0
126,7.8,88.0,185401.0,139,102270000.0
127,8.0,79.0,192153.0,112,33400000.0
128,7.9,97.0,113976.0,122,8000000.0
129,8.2,97.0,333116.0,238,198680000.0
130,7.7,75.0,58928.0,178,39100000.0
131,7.9,98.0,90101.0,145,12060000.0
132,7.3,68.0,153393.0,75,1070000.0
133,8.4,76.0,137124.0,116,8180000.0
134,7.8,63.0,48763.0,108,56700000.0
135,7.4,66.0,11290.0,134,
136,8.1,88.0,197709.0,96,
